MeterpointID,MeterNumber,PostalCode,Id,Substation
707057500017251526,15691438,1675,93497,K57L
707057500017250697,15699872,1675,93498,K118L
707057500017251489,15691439,1675,93501,K57L
707057500017251533,16044964,1675,93504,K57L
707057500017250420,15691698,1675,93505,K118L
707057500017250444,16044893,1675,93509,K118L
707057500017250468,16045085,1675,93510,K118L
707057500017252134,16044551,1675,93512,K133L
707057500017250352,16045097,1675,93515,K118L
707057500017252226,15718227,1675,93516,K133L
707057500017250673,15699873,1675,93517,K118L
707057500017250659,15701647,1675,93520,K118L
707057500017252165,15691735,1675,93523,K133L
707057500017250567,15701620,1675,93524,K118L
707057500017251519,15699909,1675,93527,K57L
707057500017250628,15701623,1675,93528,K118L
707057500017250642,16044897,1675,93531,K118L
707057500017252073,15718461,1675,93532,K85L
707057500017252080,15904994,1675,93535,K85L
707057500017254718,15691543,1676,93537,K100L
707057500017252028,15699823,1675,93539,K119L
